Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,ust_id,sim.device,sim.pins,manufacturer_name,manufacturer_part_number
1,"Unpolarized capacitor, small symbol",C_Small,C3C4,100n,C_0805_2012Metric,2,~,5c70984812875079b91f8bf2,,,,
2,"Unpolarized capacitor, small symbol",C_Small,C1,1u,C_0805_2012Metric,1,~,5c70984812875079b91f8bc3,,,,
3,Unpolarized capacitor,C,C2,C,R_1206_3216Metric,1,~,,,,,
4,"Diode, small symbol",D_Small,D1,BZX585-B5V6.115,D_SOD-523,1,~,,D,1=K 2=A,,
5,"Light emitting diode, small symbol",LED_Small,D3,GREEN,LED_0603_1608Metric,1,~,60d582331287500165f859d0,,,,
6,"Light emitting diode, small symbol",LED_Small,D2,RED,LED_0603_1608Metric,1,~,60d582331287500165f859d0,,,,
7,Concurrent GNSS Antenna Modules,CAM-M8Q,IC1,CAM-M8Q,CAM-M8Q,1,https://www.u-blox.com/sites/default/files/CAM-M8-FW3_DataSheet_%28UBX-15031574%29.pdf,669a6e3c6fdfe6f54e2eb4be,,,U-Blox,CAM-M8Q
8,,SM04B-GHS-TB,J2,SM04B-GHS-TB,JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal,1,,,,,,
9,1x07 2.54 mm pitch header,SM06B-GHS-TB,J1,SM06B-GHS-TB,JST_GH_SM06B-GHS-TB_1x06-1MP_P1.25mm_Horizontal,1,,,,,,
10,"Resistor, small symbol",R_Small,R2R3R5R6R9R10,220R,R_0805_2012Metric,6,~,5c70984512875079b91f8958,,,,
11,"Resistor, small symbol",R_Small,R4R11,1k,R_0805_2012Metric,2,~,5c70984512875079b91f895c,,,,
12,"Resistor, small symbol",R_Small,R1R7R8,R_Small,R_0805_2012Metric,3,~,,,,,
13,"300mA Low-dropout Voltage Regulator, Vout 3.3V, Vin up to 5.5V, SOT-23",MIC5504-3.3YM5,U1,MIC5504-3.3YM5,SOT-23-5,1,http://ww1.microchip.com/downloads/en/DeviceDoc/MIC550X.pdf,5c7255e81287500b4e112ea2,,,,
